,tweet,tokens
17,      The time is right for this House to respond to the concerns of all Canadians  Four out of five Canadians support stronger gun control and with good reason    guncontrol  cdnpoli  cdnhist ,"['tim', 'right', 'hous', 'respond', 'concern', 'canad', 'four', 'fiv', 'canad', 'support', 'stronger', 'gun', 'control', 'good', 'reason', 'guncontrol', 'cdnpoli', 'cdnhist']"
18, Besides Jax s mom and maybe Ope he is hands down my favorite he s like the only good person on the show  ,"['besid', 'jax', 'mom', 'mayb', 'op', 'hand', 'favorit', 'lik', 'good', 'person', 'show']"
19,   gun control  That is all these kids are asking for ,"['gun', 'control', 'kid', 'ask']"
20,    LOL      Throwing the BULLSHIT Flag on such nonsense     PutUpOrShutUp    Kavanaugh    MAGA    CallTheVoteAlready ,"['lol', 'throwing', 'bullshit', 'flag', 'nonsens', 'putuporshutup', 'kavanaugh', 'mag', 'callthevotealready']"
21,  You are correct ,['correct']
22,  Kind of like when conservatives wanna associate everyone to their left as communist antifa members ,"['kind', 'lik', 'conserv', 'wan', 'na', 'assocy', 'everyon', 'left', 'commun', 'antif', 'memb']"
23,  Da fuck is going on people    There the men room and the women room  Pick one and stick w it  ,"['da', 'fuck', 'going', 'peopl', 'men', 'room', 'wom', 'room', 'pick', 'on', 'stick']"
24, Been a Willie fan since before most of you were born    LOVE that he is holding a rally with Beto     Exactly WHICH fans are furious   Could you give some specifics  ,"['wil', 'fan', 'sint', 'born', 'lov', 'hold', 'ral', 'beto', 'exact', 'fan', 'fury', 'could', 'giv', 'spec']"
25, Tbh these days i just do like people in general i just do connect with people these days just a annoyance  ,"['tbh', 'day', 'lik', 'peopl', 'gen', 'connect', 'peopl', 'day', 'annoy']"
26,South Korean Official   Leaders will discuss specific denuke measures in Pyongyang      TCOT  MAGA  RedNationRising ,"['sou', 'kor', 'off', 'lead', 'disc', 'spec', 'denuk', 'meas', 'pyongyang', 'tcot', 'mag', 'rednationr']"
27,  You can tell he is a hooper too,"['tel', 'hoop']"
28, I feel like he is better chasing the title,"['feel', 'lik', 'bet', 'chas', 'titl']"
29,   She   To whom are you referring to   Hillary   You know what is tiresome   Bernie supporters bashing Hillary Clinton   She is an actual Democrat who raises money for the Democratic Party and doesn t bash them   She has a positive message   So who is dividing the left ,"['refer', 'hil', 'know', 'tiresom', 'berny', 'support', 'bash', 'hil', 'clinton', 'act', 'democr', 'rais', 'money', 'democr', 'party', 'bash', 'posit', 'mess', 'divid', 'left']"
30, Glad to see your friends are supporting Metis rights as much as you are supporting Zionists  ,"['glad', 'see', 'friend', 'support', 'met', 'right', 'much', 'support', 'zion']"
31, Yes you are but I was asking what is it about the movie       ,"['ye', 'ask', 'movy']"
32,The only thing the Democrats have is lying and stalling to stop Trump from being  President   What have they done for you lately   Trump  Kavanaugh  MAGA  DEMSUCK,"['thing', 'democr', 'lying', 'stal', 'stop', 'trump', 'presid', 'don', 'lat', 'trump', 'kavanaugh', 'mag', 'demsuck']"
33, No wonder he is being apologetic and more social these day    ,"['wond', 'apologet', 'soc', 'day']"
34,   Any updates re ending your blatant  racism as  Windrush  amp   Grenfell proves you are     alloutpolitics  politicslive  PMQs  ,"['upd', 'end', 'blat', 'rac', 'windrush', 'amp', 'grenfel', 'prof', 'alloutpolit', 'politicsl', 'pmqs']"
35,           Do you know what s going to happen now   I m going to have to lay in bed and cry while I listen to Kelly Clarkson  Thanks free speech antifa ,"['know', 'going', 'hap', 'going', 'lay', 'bed', 'cry', 'list', 'kel', 'clarkson', 'thank', 'fre', 'speech', 'antif']"
36,                                                  You are not very smart are you  Why do you think Gen Flynn s sentencing keeps being rescheduled  ,"['smart', 'think', 'gen', 'flyn', 'sent', 'keep', 'resched']"
37,   That expected if you placate the violent leftists terrorists   KavanaughConfirmation  woke,"['expect', 'plac', 'viol', 'left', 'ter', 'kavanaughconfirm', 'wok']"
38, Blow hard,"['blow', 'hard']"
39,   That means you are a max lvl  Twitter user and maybe should try a new game,"['mean', 'max', 'lvl', 'twit', 'us', 'mayb', 'try', 'new', 'gam']"
40,  Please explain what controlled opposition  means   As for Bernier escaping  he split with the rest of the Conservatives because he even more racist and exclusionary than they want to be  ,"['pleas', 'explain', 'control', 'opposit', 'mean', 'berny', 'escap', 'split', 'rest', 'conserv', 'ev', 'rac', 'exclud', 'want']"
41,     Socialists politics that stand up for the downtrodden  And well done for conflating criticism of Israel with anti semitism  You are also part of the problem ,"['soc', 'polit', 'stand', 'downtrod', 'wel', 'don', 'confl', 'crit', 'israel', 'ant', 'semit', 'also', 'part', 'problem']"
42,   Nina  One of the reasons I did read this book for so long was because I was SO WORRIED about her character  I should trusted everyone  Nina is a goddamn goddess I would die for a thousand times over  She is big and bold and lovely and PERFECT  HER ARC  IS  PERFECT ,"['nin', 'on', 'reason', 'read', 'book', 'long', 'worry', 'charact', 'trust', 'everyon', 'nin', 'goddamn', 'goddess', 'would', 'die', 'thousand', 'tim', 'big', 'bold', 'lov', 'perfect', 'arc', 'perfect']"
43,       PLEASE vote NO on Kavanaugh  He is not fit for SCOTUS and allegations about women and shady financials should disqualify him      RuleOfLaw matters   MeToo  CountryOverParty  WithdrawKavanaugh   StopKavanaugh,"['pleas', 'vot', 'kavanaugh', 'fit', 'scot', 'alleg', 'wom', 'shady', 'fin', 'disqual', 'ruleoflaw', 'mat', 'metoo', 'countryoverparty', 'withdrawkavanaugh', 'stopkavanaugh']"
44,  Ppl who say I not racist  are racist  You Are A Racist  Repeat after me ,"['ppl', 'say', 'rac', 'rac', 'rac', 'rep']"
45, Kathy the Patriot   YOU HAVE TO LOVE our GREAT PRESIDENT TRUMP     A SPINE OF U S  STEEL   CHANGING IT  ON TRADE  amp  EVERYTHING FOR AMERICANS    AMERICAFIRST  USA  MAGA  LEADERSHIP  amp   RESPECT  ECONOMY  JOBS  PEACEthruSTRENGTH  GOD  BLESS  TRUMP  amp   THEUSA            ,"['kathy', 'patriot', 'lov', 'gre', 'presid', 'trump', 'spin', 'steel', 'chang', 'trad', 'amp', 'everyth', 'am', 'americafirst', 'us', 'mag', 'lead', 'amp', 'respect', 'econom', 'job', 'peacethrustreng', 'god', 'bless', 'trump', 'amp', 'theus']"
46, Wow you liberals really don t have a sense of humor  ,"['wow', 'lib', 'real', 'sens', 'hum']"
47, I M SO FUCKING READY,"['fuck', 'ready']"
48, Holy moly   If the catholic people have been awakened by this        FalseProphet   Lunatic,"['holy', 'moly', 'cathol', 'peopl', 'awak', 'falseprophet', 'lun']"
49, Lol yeah per dina he is There everyday per claudia no horse got vet care unless it was for donation example limping etc,"['lol', 'yeah', 'per', 'din', 'everyday', 'per', 'claud', 'hors', 'got', 'vet', 'car', 'unless', 'don', 'exampl', 'limp', 'etc']"
50,   What a surprise     same as antifa  BLM and so on and so on  Soros is Americas worst enemy in HISTORY  He believes the only way to take down the USA is from withing  And hes right  But it not gunna happen ,"['surpr', 'antif', 'blm', 'soro', 'americ', 'worst', 'enemy', 'hist', 'believ', 'way', 'tak', 'us', 'with', 'he', 'right', 'gunn', 'hap']"
51, Me too  Her wedding was the best  She is very pretty ,"['wed', 'best', 'pretty']"
52,  No conflict here don t look at this    Soros involved in violent left agenda of Antifa also ,"['conflict', 'look', 'soro', 'involv', 'viol', 'left', 'agend', 'antif', 'also']"
53,    any of your announcements every come to fruition or is it basically stealing Labour ideas to get a few more votes,"['annount', 'every', 'com', 'fruit', 'bas', 'ste', 'labo', 'ide', 'get', 'vot']"
54,  out of    British people are basically full on racists    out of    voters vote for the Conservatives  Coincidence        ,"['brit', 'peopl', 'bas', 'ful', 'rac', 'vot', 'vot', 'conserv', 'coincid']"
55, GUNCONTROL advocates must STOP falling all over themselves to assure electorate that they too love the HORRIFIC  A ,"['guncontrol', 'advoc', 'must', 'stop', 'fal', 'ass', 'elect', 'lov', 'hor']"
56,  Hi there  We love what a huge fan of Camila Mendes you are  Would it be alright if we used your tweet about her in our promotional material ,"['hi', 'lov', 'hug', 'fan', 'camil', 'mend', 'would', 'alright', 'us', 'tweet', 'promot', 'mat']"
57, Fuck off,['fuck']
58, Certainly a weird view toward the Margaret Sanger geonicidal philosophy of aborting minorities   I d like to know if the black population that suffers the most shares her opinion,"['certain', 'weird', 'view', 'toward', 'margaret', 'sang', 'geonicid', 'philosoph', 'abort', 'min', 'lik', 'know', 'black', 'pop', 'suff', 'shar', 'opin']"
59,  The prison system is so fucked   Why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane  They did this in Louisiana and like     inmates went missing  ,"['prison', 'system', 'fuck', 'stil', 'get', 'away', 'pot', 'murd', 'int', 'prison', 'die', 'hur', 'louisian', 'lik', 'inm', 'went', 'miss']"
60,  She is useless   Attempts to do the right thing but never follows through ,"['useless', 'attempt', 'right', 'thing', 'nev', 'follow']"
61, WalkAway liberals      Your party is POISON  ,"['walkaway', 'lib', 'party', 'poison']"
62, Grateful Trump doesn t have a dog in the White House  He is a cruel man ,"['grat', 'trump', 'dog', 'whit', 'hous', 'cruel', 'man']"
63, You are lying  Stick with the facts  We pay more than that now ,"['lying', 'stick', 'fact', 'pay']"
64, Trump kicks dem butt   its so fun ,"['trump', 'kick', 'dem', 'but', 'fun']"
65,   He is dumb and dumber all in one president   It a two for one ,"['dumb', 'dumb', 'on', 'presid', 'two', 'on']"
66, Toxictory minister  attempted to expense     charity donation  It what   do     Toriesmustgo  DissolveTheUnion  ,"['toxict', 'min', 'attempt', 'expens', 'char', 'don', 'toriesmustgo', 'dissolvetheun']"
67, ur so straight forword man  i saw u in dance dewwane and ur just talk free ky ap kitnay porrany ho industry mein and i really like ur this quality that u even gather with ur senior  artist love for  Manmarziyaan   ,"['ur', 'straight', 'forword', 'man', 'saw', 'dant', 'deww', 'ur', 'talk', 'fre', 'ky', 'ap', 'kitnay', 'porrany', 'ho', 'industry', 'mein', 'real', 'lik', 'ur', 'qual', 'ev', 'gath', 'ur', 'seny', 'art', 'lov', 'manmarziya']"
68, And this from the clown that should be in prison ,"['clown', 'prison']"
69,    did Twitter silence alex jones in retaliation of him asking Twitter jack questions      ,"['twit', 'sil', 'alex', 'jon', 'reta', 'ask', 'twit', 'jack', 'quest']"
70, Thats because you are an old man ,"['that', 'old', 'man']"
71,   They are obstructionists  Anti american  Pharisees  Ask them what they are running on and you get nothing  Maga ,"['obstruct', 'ant', 'am', 'phar', 'ask', 'run', 'get', 'noth', 'mag']"
72,  No you re not  you re here   represent the Alinskyite Orwellian Leftist Tool amp Fool view on things  like       of the Marxists amp Antifa similar  U  psst  And B U use the words fascist or fascism again go ahead  amp  read D Souza book The Big Lie   right now U know SQUAT about either   ,"['repres', 'alinskyit', 'orwel', 'left', 'tool', 'amp', 'fool', 'view', 'thing', 'lik', 'marx', 'amp', 'antif', 'simil', 'psst', 'us', 'word', 'fasc', 'fasc', 'go', 'ahead', 'amp', 'read', 'souz', 'book', 'big', 'lie', 'right', 'know', 'squ', 'eith']"
73, I do remember     But somehow centrist  antifa haters can never quite seem to bring themselves to condemn such things  ,"['rememb', 'somehow', 'cent', 'antif', 'hat', 'nev', 'quit', 'seem', 'bring', 'condemn', 'thing']"
74, I mean it worked for gun control right  ,"['mean', 'work', 'gun', 'control', 'right']"
75, I think the last thing on the WH or Trump mind is April Ryan  She needs to stop flattering herself  She not as important as she thinks she is ,"['think', 'last', 'thing', 'wh', 'trump', 'mind', 'april', 'ryan', 'nee', 'stop', 'flat', 'import', 'think']"
76, Principled conservatives are  Hypocrickets,"['principl', 'conserv', 'hypocricket']"
77,             Do forget   amp  Democrat backed  Antifa,"['forget', 'amp', 'democr', 'back', 'antif']"
78, She is a beautiful person to teach values to her kids  Teaching them they are royalty but keep to keep it from going to their heads  Stay real   ,"['beauty', 'person', 'teach', 'valu', 'kid', 'teach', 'royal', 'keep', 'keep', 'going', 'head', 'stay', 'real']"
79, Bring out his Antifa criminal son to campaign for him,"['bring', 'antif', 'crimin', 'son', 'campaign']"
80,  I didn t watch and will not watch  Watching the September   th stories and how we came together and stood shoulder to shoulder made me proud even with all of our issues yet the people playing a damn game cannot stand for this moment protest on a Saturday ,"['watch', 'watch', 'watch', 'septemb', 'th', 'story', 'cam', 'togeth', 'stood', 'should', 'should', 'mad', 'proud', 'ev', 'issu', 'yet', 'peopl', 'play', 'damn', 'gam', 'stand', 'mom', 'protest', 'saturday']"
81,A tear is made of    water and     feelings ,"['tear', 'mad', 'wat', 'feel']"
82,  Trump addresses gun control representing the NRA   I will not let you down  he says  ,"['trump', 'address', 'gun', 'control', 'repres', 'nra', 'let', 'say']"
83, She is drinking so much koolaid she s bloated ,"['drink', 'much', 'koolaid', 'blo']"
84, Holder needs to be prosecuted,"['hold', 'nee', 'prosecut']"
85, But    But    BOTH PLAYERS WERE WOMEN  And BOTH WERE WOMEN OF COLOR ,"['play', 'wom', 'wom', 'col']"
86,    The Institution only let her tweet when she behaves  She is a Window Licker    ,"['institut', 'let', 'tweet', 'behav', 'window', 'lick']"
87, babysitting   kids   people  how old do you think she is    she has three kids   me  dont get mad  don t get mad  they don t know  they don t know ,"['babysit', 'kid', 'peopl', 'old', 'think', 'three', 'kid', 'dont', 'get', 'mad', 'get', 'mad', 'know', 'know']"
88, well     ,['wel']
89,WTC This is a threat        Maga  QAnon  WakeUpAmerica ,"['wtc', 'threat', 'mag', 'qanon', 'wakeupameric']"
90, It easily digestible content    There no need for nuance or to even understand the story   They can show a picture of an ANTIFA  and get the base level emotional response their content requires in order to be profitable  ,"['easy', 'digest', 'cont', 'nee', 'nuant', 'ev', 'understand', 'story', 'show', 'pict', 'antif', 'get', 'bas', 'level', 'emot', 'respons', 'cont', 'requir', 'ord', 'profit']"
91,  Try looking for plain old democrats   The liberals are the ones which you can t have a conversation with ,"['try', 'look', 'plain', 'old', 'democr', 'lib', 'on', 'convers']"
92, Great news  Old moonbeam Just went into a coma   ,"['gre', 'new', 'old', 'moonbeam', 'went', 'com']"
93, OMG HE IS SO EXTRA ILY,"['omg', 'extr', 'ily']"
94,   Please call trump out for what he is   a NARCISSISTIC SOCIOPATH ,"['pleas', 'cal', 'trump', 'narcissist', 'sociopa']"
95,  Unfortunately in America a system like that would be called racist  Liberals believe exams are racist against minority groups ,"['unfortun', 'americ', 'system', 'lik', 'would', 'cal', 'rac', 'lib', 'believ', 'exam', 'rac', 'min', 'group']"
96, I know  She is still alive    but wondering if her career was railroaded  Odd  Loved her   especially that day ,"['know', 'stil', 'al', 'wond', 'car', 'railroad', 'od', 'lov', 'espec', 'day']"
97,  Guy you are always present   bet why  Lol,"['guy', 'alway', 'pres', 'bet', 'lol']"
98,  what a baby  ,['baby']
99, you are very persuasive fam,"['persuas', 'fam']"
100, THAT S NOTHING NEW SHE WAS GOING TO VOTE NO ANYWAY     WE WILL VOTE NO TO LIBERALS IN NOVEMBER     ,"['noth', 'new', 'going', 'vot', 'anyway', 'vot', 'lib', 'novemb']"
101, Burt  A cool dude ,"['burt', 'cool', 'dud']"
102, MAGA  IF YOU ARE ALL IN FOR  TRUMP FOLLOW ME AND I WILL FOLLOW BACK ,"['mag', 'trump', 'follow', 'follow', 'back']"
103, thank u   i m finally at the point where i m okay with using heat on it again i m so happy,"['thank', 'fin', 'point', 'okay', 'us', 'heat', 'happy']"
104, Kind of like what trump does all the time huh ,"['kind', 'lik', 'trump', 'tim', 'huh']"
105, Because a former Antifa in the white house and they do not arrest her and a citizen if they arrest someone explain to me ,"['form', 'antif', 'whit', 'hous', 'arrest', 'cit', 'arrest', 'someon', 'explain']"
106, Fuck em,"['fuck', 'em']"
107, Good move    he is the big loser,"['good', 'mov', 'big', 'los']"
108, Let get to the bottom of this  DM me your zipcode and I ll check it out   We have your back and we will make sure you are enjoying the BEST that TV has to offer ASAP   NevinBruce,"['let', 'get', 'bottom', 'dm', 'zipcod', 'check', 'back', 'mak', 'sur', 'enjoy', 'best', 'tv', 'off', 'asap', 'nevinbruc']"
109,    For the record I know Doug Jones personally and he is only a Sen  Bc we had no other credible choice  He won t be at the next election ,"['record', 'know', 'doug', 'jon', 'person', 'sen', 'bc', 'cred', 'cho', 'next', 'elect']"
110, The president s feelings are totally opposite of CNN s feelings  So what does that say about CNN  They re all liberals ,"['presid', 'feel', 'tot', 'opposit', 'cnn', 'feel', 'say', 'cnn', 'lib']"
111, it literally a narrative that is on par with Nazis punch  antifa punch  they are two sides of the same coin   noooOOoOo one of these groups wants to exterminate or deport all PoC and Jews  the other just wants to prevent them from doing that  and this comparison benefits fash ,"['lit', 'nar', 'par', 'naz', 'punch', 'antif', 'punch', 'two', 'sid', 'coin', 'noooooooo', 'on', 'group', 'want', 'extermin', 'deport', 'poc', 'jew', 'want', 'prev', 'comparison', 'benefit', 'fash']"
112,  There are many dumb arguments for gun control but this may be the dumbest and most common ,"['many', 'dumb', 'argu', 'gun', 'control', 'may', 'dumbest', 'common']"
113, she is idk what going on,"['idk', 'going']"
114,  Yall need to chill he is having a really abysmal  nd half  Rizzo had an abysmal  st half  Its baseball it happens  Does he have things he still needs to work on yes  Has the power numbers dropped yes      but he could bounce back at anytime  ,"['yal', 'nee', 'chil', 'real', 'abysm', 'nd', 'half', 'rizzo', 'abysm', 'st', 'half', 'basebal', 'hap', 'thing', 'stil', 'nee', 'work', 'ye', 'pow', 'numb', 'drop', 'ye', 'could', 'bount', 'back', 'anytim']"
115, Dude you are old    Lmao  PS  Go Pack Go   ,"['dud', 'old', 'lmao', 'go', 'pack', 'go']"
116,                                                  That why Trump supporters ca even wear a hat without being abused  If they meet the animals on the left attack them  Antifa is a branch of the Communist Socialist Nazis Democrat Party ,"['trump', 'support', 'ca', 'ev', 'wear', 'hat', 'without', 'abus', 'meet', 'anim', 'left', 'attack', 'antif', 'branch', 'commun', 'soc', 'naz', 'democr', 'party']"
117, The laughs I ve gotten from you are enough   ,"['laugh', 'got', 'enough']"
118,   well ,['wel']
119,   First of all  they don t even have pizza at Panera,"['first', 'ev', 'pizz', 'paner']"
120,   please do kill me  antifa on the other hand   ,"['pleas', 'kil', 'antif', 'hand']"
121, Did you see Shanahan say Spoon was not      healthy this game  Obviously no excuses if you re out there BUT maybe it s not the  all is doom  sort of thing it seemed during the game  Maybe he is still pretty good ,"['see', 'shanah', 'say', 'spoon', 'healthy', 'gam', 'obvy', 'excus', 'mayb', 'doom', 'sort', 'thing', 'seem', 'gam', 'mayb', 'stil', 'pretty', 'good']"
122, Good girl ,"['good', 'girl']"
123,  She is an ugly black hearted troll ,"['ug', 'black', 'heart', 'trol']"
124,   You are clearly not a pokemon master  I have almost     in rare candy alone  Over     legacy moveset pokemon  It just all depends on what you like to keep as collection pieces and what you value in the game ,"['clear', 'pokemon', 'mast', 'almost', 'rar', 'candy', 'alon', 'leg', 'moveset', 'pokemon', 'depend', 'lik', 'keep', 'collect', 'piec', 'valu', 'gam']"
125, Dont believe the hype ,"['dont', 'believ', 'hyp']"
126,             Followed all new   MAGA   Please follow back ,"['follow', 'new', 'mag', 'pleas', 'follow', 'back']"
127, Protests Reported in  Sunderland  Except these are  football fan and one  flag says  WestBrom on it    Getting worse now even as I type     MAGA  MEGA  MBGA  MCGA  Conservatives  Patriots  Muslims  FarLeft  Leftists  doomed to lose but do not realises it   CivilWar soon  ,"['protest', 'report', 'sunderland', 'exceiv', 'footbal', 'fan', 'on', 'flag', 'say', 'westbrom', 'get', 'wors', 'ev', 'typ', 'mag', 'meg', 'mbga', 'mcga', 'conserv', 'patriot', 'muslim', 'farleft', 'left', 'doom', 'los', 'real', 'civilw', 'soon']"
128, Liberals would still vote for him  They ll claim his comments were Taken out of context and that he is still a man of integrity   ,"['lib', 'would', 'stil', 'vot', 'claim', 'com', 'tak', 'context', 'stil', 'man', 'integr']"
129,  We have been saved from you  MAGA ,"['sav', 'mag']"
130, You are bringing up honor and decency  With that yoyo in the picture  That rich ,"['bring', 'hon', 'dec', 'yoyo', 'pict', 'rich']"
131, Good riddance ,"['good', 'rid']"
132, She is a goddess,['goddess']
133, Omg xD The worst  or the best  in my case is the best cuase it made me laught  part was her asking is he dead  does that hurts  poor thing     and the rest standin there like      nope he is no suffering   so he is dead       yeah  pretty dead  ,"['omg', 'xd', 'worst', 'best', 'cas', 'best', 'cuas', 'mad', 'laught', 'part', 'ask', 'dead', 'hurt', 'poor', 'thing', 'rest', 'standin', 'lik', 'nop', 'suff', 'dead', 'yeah', 'pretty', 'dead']"
134, You can probably imagine all the SJW snowflakes that do feel safe  working where there might be conservatives lurking in the shadows   Conservatives are now the Ruskies of the   st century  ,"['prob', 'imagin', 'sjw', 'snowflak', 'feel', 'saf', 'work', 'might', 'conserv', 'lurk', 'shadow', 'conserv', 'rusky', 'st', 'century']"
135,  I see May in the same light as yourself  Even the last election was about her and not the Conservatives   A split is coming to the Tory partyvery soon ,"['see', 'may', 'light', 'ev', 'last', 'elect', 'conserv', 'split', 'com', 'tory', 'partyvery', 'soon']"
136, This all I get   damn these haters deleting you IG for no reason    ,"['get', 'damn', 'hat', 'delet', 'ig', 'reason']"
137, Do you think Canadian liberals will actually blame Trudeau if he costs them this  Or as per standard push it off on us ,"['think', 'canad', 'lib', 'act', 'blam', 'trudeau', 'cost', 'per', 'standard', 'push']"
138,    You warned everyone about Josh Gordon the last   months on a daily basis   I sure you are as shocked as I am of what transpired today ,"['warn', 'everyon', 'josh', 'gordon', 'last', 'mon', 'dai', 'bas', 'sur', 'shock', 'transpir', 'today']"
139,   Why ca liberals read        READ it AGAIN ,"['ca', 'lib', 'read', 'read']"
140, SJSHSJ THATS MY JOB BITCH,"['sjshsj', 'that', 'job', 'bitch']"
141, Do they discuss Haiti ,"['disc', 'hait']"
142,   What part of NO COLLUSION do you get    This is why you are a dumocrat,"['part', 'collud', 'get', 'dumocr']"
143, He is very skilled  ,['skil']
144, You are amazing    ,['amaz']
145, Fist pump was for the troops ,"['fist', 'pump', 'troop']"
146, if the reason for Farakans illegal values are because he is black or Muslim  that would be a reason to detest him  I believe his illegal values are simply a result of bad character  like his supporters  ,"['reason', 'farak', 'illeg', 'valu', 'black', 'muslim', 'would', 'reason', 'detest', 'believ', 'illeg', 'valu', 'simply', 'result', 'bad', 'charact', 'lik', 'support']"
147, Let the leftist democrats riot in the streets with their antifa counterparts ,"['let', 'left', 'democr', 'riot', 'street', 'antif', 'counterpart']"
148, I thought Canada had strict gun control   Help me understand what is happening ,"['thought', 'canad', 'strict', 'gun', 'control', 'help', 'understand', 'hap']"
149, They don t want you following people because they don t like conservatives  Sickening  how biased Twitter s management is   TwitterLeftBias,"['want', 'follow', 'peopl', 'lik', 'conserv', 'sick', 'bias', 'twit', 'man', 'twitterleftbia']"
150, He is doing life tho ,"['lif', 'tho']"
151, It SO VERY IMPORTANT between now and the midterms to get the word out that all the  democrats want people of color to believe is they support them   which as you know is SO false  How can the word spread even more to those who need to know   MAGA  NAACP,"['import', 'midterm', 'get', 'word', 'democr', 'want', 'peopl', 'col', 'believ', 'support', 'know', 'fals', 'word', 'spread', 'ev', 'nee', 'know', 'mag', 'naacp']"
152,  ANTIFA is not giving death threats to professor Ford or threatening violence if their candidate loses or Spanky is impeached ,"['antif', 'giv', 'dea', 'threat', 'profess', 'ford', 'threatening', 'viol', 'candid', 'los', 'spanky', 'impeach']"
153,   Have you seen or listened to your ANTIFA pals ,"['seen', 'list', 'antif', 'pal']"
154,  In case of antifa take a little bat or something  Good for you  more of should do that kind of thing ,"['cas', 'antif', 'tak', 'littl', 'bat', 'someth', 'good', 'kind', 'thing']"
155, Your titles scare me a little bit     ,"['titl', 'scar', 'littl', 'bit']"
156,  gt Eradicating HIV and Malaria in the middle of Africa  Good bloody luck,"['gt', 'erad', 'hiv', 'malar', 'middl', 'afric', 'good', 'bloody', 'luck']"
157,  The only interaction of Tory volunteers with FCP volunteers that I witnessed today was the one demanding that our float be moved to the back of the parade   ableg  cdnpoli,"['interact', 'tory', 'volunt', 'fcp', 'volunt', 'wit', 'today', 'on', 'demand', 'flo', 'mov', 'back', 'parad', 'ableg', 'cdnpoli']"
158, And who seems to be getting things done ,"['seem', 'get', 'thing', 'don']"
159,I added a video to a  playlist  Combat mon frere vs Ismael et Maga assassin vs David le boxer  YFC   ,"['ad', 'video', 'playl', 'comb', 'mon', 'frer', 'ismael', 'et', 'mag', 'assassin', 'david', 'le', 'box', 'yfc']"
160, So has the Law changed   you just make an allegation now days and your guilty until proven innocent  Liberals are mentally ill ,"['law', 'chang', 'mak', 'alleg', 'day', 'guil', 'prov', 'innoc', 'lib', 'ment', 'il']"
161, Straight up different   Thank Joe Biden for that one   I also wonder the outcome if her name had been Antifa Hill ,"['straight', 'diff', 'thank', 'joe', 'bid', 'on', 'also', 'wond', 'outcom', 'nam', 'antif', 'hil']"
162, This game sucks donkey balls,"['gam', 'suck', 'donkey', 'bal']"
163, Yo for real you are gorgeous,"['yo', 'real', 'gorg']"
164, Absolutely should be a nail in the coffin     for Hilliary,"['absolv', 'nail', 'coffin', 'hil']"
165,  I hope he gets on twitter so I can tell him how amazing he is    ,"['hop', 'get', 'twit', 'tel', 'amaz']"
